date,time,conditions,shade,rep,umol_m2_s
9/18/14,16:30,partly cloudy,control,4,596
9/18/14,16:30,partly cloudy,double,4,36
9/18/14,16:30,partly cloudy,single,4,70
9/18/14,16:30,partly cloudy,control,3,523
9/18/14,16:30,partly cloudy,single,3,83
9/18/14,16:30,partly cloudy,single,1,80
9/18/14,16:30,partly cloudy,double,3,23
9/18/14,16:30,partly cloudy,double,1,21
9/18/14,16:30,partly cloudy,control,2,647
9/18/14,16:30,partly cloudy,double,2,44
9/18/14,16:30,partly cloudy,single,2,74
9/18/14,16:30,partly cloudy,control,1,554
9/24/14,10:00,overcast,control,4,138
9/24/14,10:00,overcast,double,4,21
9/24/14,10:00,overcast,single,4,48
9/24/14,10:00,overcast,control,3,134
9/24/14,10:00,overcast,single,3,38
9/24/14,10:00,overcast,single,1,38
9/24/14,10:00,overcast,double,3,12
9/24/14,10:00,overcast,double,1,12
9/24/14,10:00,overcast,control,2,130
9/24/14,10:00,overcast,double,2,20
9/24/14,10:00,overcast,single,2,42
9/24/14,10:00,overcast,control,1,130
9/25/14,15:40,overcast,control,4,107
9/25/14,15:40,overcast,double,4,16
9/25/14,15:40,overcast,single,4,36
9/25/14,15:40,overcast,control,3,96
9/25/14,15:40,overcast,single,3,30
9/25/14,15:40,overcast,single,1,26
9/25/14,15:40,overcast,double,3,9
9/25/14,15:40,overcast,double,1,10
9/25/14,15:40,overcast,control,2,103
9/25/14,15:40,overcast,double,2,13
9/25/14,15:40,overcast,single,2,28
9/25/14,15:40,overcast,control,1,97
9/30/14,14:00,sunny,control,4,1093
9/30/14,14:00,sunny,double,4,124
9/30/14,14:00,sunny,single,4,324
9/30/14,14:00,sunny,control,3,1310
9/30/14,14:00,sunny,single,3,305
9/30/14,14:00,sunny,single,1,235
9/30/14,14:00,sunny,double,3,46
9/30/14,14:00,sunny,double,1,103
9/30/14,14:00,sunny,control,2,1062
9/30/14,14:00,sunny,double,2,64
9/30/14,14:00,sunny,single,2,238
9/30/14,14:00,sunny,control,1,1095
10/9/14,13:30,sunny,single,4,230
10/9/14,13:30,sunny,double,4,180
10/9/14,13:30,sunny,control,4,1450
10/9/14,13:30,sunny,single,1,170
10/9/14,13:30,sunny,single,3,275
10/9/14,13:30,sunny,control,3,1170
10/9/14,13:30,sunny,double,3,55
10/9/14,13:30,sunny,double,1,58
10/9/14,13:30,sunny,control,3,1319
10/9/14,13:30,sunny,double,2,62
10/9/14,13:30,sunny,single,2,272
10/9/14,13:30,sunny,control,1,1073
