"species","competitor","shade","salt","tent","tray","roots","shoots"
"Distichlis spicata","None","0",0,"C2",4,4.44,2.25
"Distichlis spicata","None","0",0,"C1",8,7.03,3.27
"Distichlis spicata","None","0",0,"C2",19,4.89,3.05
"Distichlis spicata","None","0",0,"C1",28,7.11,4.08
"Distichlis spicata","None","0",0,"C3",37,4.53,3.39
"Distichlis spicata","None","0",0,"C3",47,2.93,2.26
"Distichlis spicata","None","0",0,"C4",62,2.83,2.2
"Distichlis spicata","None","0",0,"C4",64,5.71,3.04
"Distichlis spicata","None","90",0,"D1",1,3,2.31
"Distichlis spicata","None","90",0,"D3",18,2.11,2.59
"Distichlis spicata","None","90",0,"D3",26,2.65,2.78
"Distichlis spicata","None","90",0,"D1",31,2.31,2.04
"Distichlis spicata","None","90",0,"D4",55,2.04,1.31
"Distichlis spicata","None","90",0,"D2",58,2.33,2.49
"Distichlis spicata","None","90",0,"D2",68,2.95,3.49
"Distichlis spicata","None","90",0,"D4",72,1.8,2.76
"Distichlis spicata","None","75",0,"S1",2,1.35,1.86
"Distichlis spicata","None","75",0,"S3",16,2.13,2.64
"Distichlis spicata","None","75",0,"S1",24,2.08,2.42
"Distichlis spicata","None","75",0,"S3",35,2.96,2.54
"Distichlis spicata","None","75",0,"S4",41,7.8,3.92
"Distichlis spicata","None","75",0,"S2",43,7.3,4.06
"Distichlis spicata","None","75",0,"S2",51,2.5,2.22
"Distichlis spicata","None","75",0,"S4",54,6.08,2.76
"Distichlis spicata","None","0",3,"C2",5,10.89,4.57
"Distichlis spicata","None","0",3,"C1",6,4.88,2.55
"Distichlis spicata","None","0",3,"C2",20,4.35,2.71
"Distichlis spicata","None","0",3,"C1",29,6.14,2.8
"Distichlis spicata","None","0",3,"C3",38,2.66,2.53
"Distichlis spicata","None","0",3,"C3",45,1.81,2.34
"Distichlis spicata","None","0",3,"C4",61,4.83,2.75
"Distichlis spicata","None","0",3,"C4",65,6.25,2.9
"Distichlis spicata","None","90",3,"D1",12,3.92,2.01
"Distichlis spicata","None","90",3,"D3",13,1.33,1.8
"Distichlis spicata","None","90",3,"D3",27,3.57,2.65
"Distichlis spicata","None","90",3,"D1",32,2.51,2.19
"Distichlis spicata","None","90",3,"D4",57,3.54,2.43
"Distichlis spicata","None","90",3,"D2",59,3.97,2.17
"Distichlis spicata","None","90",3,"D2",69,3.62,2.68
"Distichlis spicata","None","90",3,"D4",71,5.25,2.85
"Distichlis spicata","None","75",3,"S1",9,1.73,2.43
"Distichlis spicata","None","75",3,"S3",17,2.57,1.79
"Distichlis spicata","None","75",3,"S1",22,3.15,2.44
"Distichlis spicata","None","75",3,"S3",34,3.74,2.61
"Distichlis spicata","None","75",3,"S4",40,2.06,2.11
"Distichlis spicata","None","75",3,"S2",42,3.42,2.2
"Distichlis spicata","None","75",3,"S2",50,5.37,3.02
"Distichlis spicata","None","75",3,"S4",53,4.67,3.5
"Distichlis spicata","None","0",6,"C2",3,6.17,3.07
"Distichlis spicata","None","0",6,"C1",7,2.67,1.57
"Distichlis spicata","None","0",6,"C2",21,9.02,3.08
"Distichlis spicata","None","0",6,"C1",30,4.44,2.64
"Distichlis spicata","None","0",6,"C3",46,2.15,1.61
"Distichlis spicata","None","0",6,"C3",48,3.96,3.01
"Distichlis spicata","None","0",6,"C4",63,6.38,3.57
"Distichlis spicata","None","0",6,"C4",66,6.8,2.2
"Distichlis spicata","None","90",6,"D1",10,2.55,1.72
"Distichlis spicata","None","90",6,"D3",15,1.74,1.43
"Distichlis spicata","None","90",6,"D3",25,1.5,2.44
"Distichlis spicata","None","90",6,"D1",33,2.04,1.52
"Distichlis spicata","None","90",6,"D4",56,2.03,1.84
"Distichlis spicata","None","90",6,"D2",60,3.16,2.07
"Distichlis spicata","None","90",6,"D2",67,2.62,2.68
"Distichlis spicata","None","90",6,"D4",70,4.94,2.49
"Distichlis spicata","None","75",6,"S1",11,1.5,2.05
"Distichlis spicata","None","75",6,"S3",14,2.64,2.25
"Distichlis spicata","None","75",6,"S1",23,1.2,2.03
"Distichlis spicata","None","75",6,"S3",36,3.63,3.37
"Distichlis spicata","None","75",6,"S4",39,4.86,3.15
"Distichlis spicata","None","75",6,"S2",44,3.26,2.26
"Distichlis spicata","None","75",6,"S2",49,4.23,2.56
"Distichlis spicata","None","75",6,"S4",52,3.45,2.19
"Distichlis spicata","Panicum virgatum","0",0,"C2",4,2.59,1.53
"Distichlis spicata","Panicum virgatum","0",0,"C1",8,4.23,1.77
"Distichlis spicata","Panicum virgatum","0",0,"C2",19,5,1.36
"Distichlis spicata","Panicum virgatum","0",0,"C1",28,3.19,0.99
"Distichlis spicata","Panicum virgatum","0",0,"C3",37,0.6,1.41
"Distichlis spicata","Panicum virgatum","0",0,"C3",47,3.36,2.15
"Distichlis spicata","Panicum virgatum","0",0,"C4",62,5.5,1.61
"Distichlis spicata","Panicum virgatum","0",0,"C4",64,1.97,0.8
"Distichlis spicata","Panicum virgatum","90",0,"D1",1,2.52,1.78
"Distichlis spicata","Panicum virgatum","90",0,"D3",18,2.1,1.6
"Distichlis spicata","Panicum virgatum","90",0,"D3",26,3.44,1.59
"Distichlis spicata","Panicum virgatum","90",0,"D1",31,2.8,1.18
"Distichlis spicata","Panicum virgatum","90",0,"D4",55,3.74,1.28
"Distichlis spicata","Panicum virgatum","90",0,"D2",58,6.7,1.7
"Distichlis spicata","Panicum virgatum","90",0,"D2",68,3.92,2.31
"Distichlis spicata","Panicum virgatum","90",0,"D4",72,3.51,1.58
"Distichlis spicata","Panicum virgatum","75",0,"S1",2,1.09,1.38
"Distichlis spicata","Panicum virgatum","75",0,"S3",16,1.15,0.83
"Distichlis spicata","Panicum virgatum","75",0,"S1",24,1.48,0.94
"Distichlis spicata","Panicum virgatum","75",0,"S3",35,2.06,1.6
"Distichlis spicata","Panicum virgatum","75",0,"S2",43,2.28,0.68
"Distichlis spicata","Panicum virgatum","75",0,"S2",51,2.94,0.82
"Distichlis spicata","Panicum virgatum","75",0,"S4",54,2.09,1.48
"Distichlis spicata","Panicum virgatum","0",3,"C2",5,1.23,1.44
"Distichlis spicata","Panicum virgatum","0",3,"C1",6,4.23,2.15
"Distichlis spicata","Panicum virgatum","0",3,"C2",20,3,1.16
"Distichlis spicata","Panicum virgatum","0",3,"C1",29,9.3,2.23
"Distichlis spicata","Panicum virgatum","0",3,"C3",38,5.35,1.18
"Distichlis spicata","Panicum virgatum","0",3,"C3",45,9.92,1.78
"Distichlis spicata","Panicum virgatum","0",3,"C4",65,1.18,1.22
"Distichlis spicata","Panicum virgatum","90",3,"D1",12,1.45,1.44
"Distichlis spicata","Panicum virgatum","90",3,"D3",13,0.76,1.32
"Distichlis spicata","Panicum virgatum","90",3,"D3",27,1.89,1.51
"Distichlis spicata","Panicum virgatum","90",3,"D1",32,0.2,0.45
"Distichlis spicata","Panicum virgatum","90",3,"D4",57,3.77,1.59
"Distichlis spicata","Panicum virgatum","90",3,"D2",59,3.35,1.68
"Distichlis spicata","Panicum virgatum","90",3,"D2",69,2.68,1.54
"Distichlis spicata","Panicum virgatum","90",3,"D4",71,3.51,1.93
"Distichlis spicata","Panicum virgatum","75",3,"S1",9,1.07,1.39
"Distichlis spicata","Panicum virgatum","75",3,"S3",17,1.04,1.38
"Distichlis spicata","Panicum virgatum","75",3,"S1",22,2.27,1.9
"Distichlis spicata","Panicum virgatum","75",3,"S3",34,2.63,1.18
"Distichlis spicata","Panicum virgatum","75",3,"S4",40,3.6,0.93
"Distichlis spicata","Panicum virgatum","75",3,"S2",42,2.04,1.12
"Distichlis spicata","Panicum virgatum","75",3,"S2",50,1.29,1.14
"Distichlis spicata","Panicum virgatum","75",3,"S4",53,1.18,1.41
"Distichlis spicata","Panicum virgatum","0",6,"C2",3,2.68,1.52
"Distichlis spicata","Panicum virgatum","0",6,"C1",7,2.4,1.03
"Distichlis spicata","Panicum virgatum","0",6,"C2",21,1.85,1.1
"Distichlis spicata","Panicum virgatum","0",6,"C1",30,2.05,1.35
"Distichlis spicata","Panicum virgatum","0",6,"C3",46,3.29,2.23
"Distichlis spicata","Panicum virgatum","0",6,"C3",48,2.01,2.01
"Distichlis spicata","Panicum virgatum","0",6,"C4",63,4.67,2.12
"Distichlis spicata","Panicum virgatum","0",6,"C4",66,11.01,1.92
"Distichlis spicata","Panicum virgatum","90",6,"D1",10,3.03,1.1
"Distichlis spicata","Panicum virgatum","90",6,"D3",15,2.07,1.26
"Distichlis spicata","Panicum virgatum","90",6,"D3",25,1.12,1.03
"Distichlis spicata","Panicum virgatum","90",6,"D1",33,0.74,0.81
"Distichlis spicata","Panicum virgatum","90",6,"D4",56,2.84,0.95
"Distichlis spicata","Panicum virgatum","90",6,"D2",60,8.29,1.75
"Distichlis spicata","Panicum virgatum","90",6,"D2",67,7.84,1.77
"Distichlis spicata","Panicum virgatum","90",6,"D4",70,6.11,1.83
"Distichlis spicata","Panicum virgatum","75",6,"S1",11,1.35,1.3
"Distichlis spicata","Panicum virgatum","75",6,"S3",14,1.12,1.01
"Distichlis spicata","Panicum virgatum","75",6,"S3",36,3.85,1.5
"Distichlis spicata","Panicum virgatum","75",6,"S4",39,1.95,1.41
"Distichlis spicata","Panicum virgatum","75",6,"S2",44,2.25,1.25
"Distichlis spicata","Panicum virgatum","75",6,"S2",49,2.61,1.66
"Distichlis spicata","Panicum virgatum","75",6,"S4",52,4.73,1.76
"Panicum virgatum","Distichlis spicata","0",0,"C2",4,4.18,2.23
"Panicum virgatum","Distichlis spicata","0",0,"C1",8,5.74,2.54
"Panicum virgatum","Distichlis spicata","0",0,"C2",19,5.38,2.85
"Panicum virgatum","Distichlis spicata","0",0,"C1",28,4.48,3.84
"Panicum virgatum","Distichlis spicata","0",0,"C3",37,3.16,2.05
"Panicum virgatum","Distichlis spicata","0",0,"C3",47,3.67,2.28
"Panicum virgatum","Distichlis spicata","0",0,"C4",62,2.7,2.36
"Panicum virgatum","Distichlis spicata","0",0,"C4",64,6.31,3.33
"Panicum virgatum","Distichlis spicata","90",0,"D1",1,2.76,0.9
"Panicum virgatum","Distichlis spicata","90",0,"D3",18,3.05,2.8
"Panicum virgatum","Distichlis spicata","90",0,"D3",26,1.84,2.86
"Panicum virgatum","Distichlis spicata","90",0,"D1",31,1.26,1.85
"Panicum virgatum","Distichlis spicata","90",0,"D4",55,3.34,2.63
"Panicum virgatum","Distichlis spicata","90",0,"D2",58,2.45,1.57
"Panicum virgatum","Distichlis spicata","90",0,"D2",68,3.94,2.02
"Panicum virgatum","Distichlis spicata","90",0,"D4",72,2.82,2.28
"Panicum virgatum","Distichlis spicata","75",0,"S1",2,3.36,3.55
"Panicum virgatum","Distichlis spicata","75",0,"S3",16,2.13,2.29
"Panicum virgatum","Distichlis spicata","75",0,"S1",24,2.76,2.11
"Panicum virgatum","Distichlis spicata","75",0,"S3",35,2.67,1.88
"Panicum virgatum","Distichlis spicata","75",0,"S4",41,4.62,3.55
"Panicum virgatum","Distichlis spicata","75",0,"S2",43,4.55,2.75
"Panicum virgatum","Distichlis spicata","75",0,"S2",51,3.27,3.34
"Panicum virgatum","Distichlis spicata","75",0,"S4",54,3.24,2.35
"Panicum virgatum","Distichlis spicata","0",3,"C2",5,1.74,2.05
"Panicum virgatum","Distichlis spicata","0",3,"C1",6,3.4,0.94
"Panicum virgatum","Distichlis spicata","0",3,"C2",20,4.21,2.5
