set_no,tag_spp,tag_no,salt,shade
1,Pa,28,0,D1
1,Pv,65,0,D1
1,Ds,11,0,D1
1,Sp,73,0,D1
1,Sa,65,0,D1
1,Spu,27,0,D1
1,Pv x Ds,12,0,D1
1,Pv x Sp,71,0,D1
1,Pv x Sa,9,0,D1
1,Pv x Spu,19,0,D1
1,Pa x Ds,31,0,D1
1,Pa x Sp,32,0,D1
1,Pa x Sa,27,0,D1
1,Pa x Spu,18,0,D1
2,Pa,32,0,S1
2,Pv,56,0,S1
2,Ds,3,0,S1
2,Sp,9,0,S1
2,Sa,7,0,S1
2,Spu,6,0,S1
2,Pv x Ds,3,0,S1
2,Pv x Sp,61,0,S1
2,Pv x Sa,51,0,S1
2,Pv x Spu,6,0,S1
2,Pa x Ds,30,0,S1
2,Pa x Sp,8,0,S1
2,Pa x Sa,22,0,S1
2,Pa x Spu,31,0,S1
3,Pa,29,6,C2
3,Pv,61,6,C2
3,Ds,2,6,C2
3,Sp,6,6,C2
3,Sa,62,6,C2
3,Spu,22,6,C2
3,Pv x Ds,16,6,C2
3,Pv x Sp,57,6,C2
3,Pv x Sa,57,6,C2
3,Pv x Spu,13,6,C2
3,Pa x Ds,34,6,C2
3,Pa x Sp,33,6,C2
3,Pa x Sa,28,6,C2
3,Pa x Spu,35,6,C2
4,Pa,3,0,C2
4,Pv,2,0,C2
4,Ds,64,0,C2
4,Sp,1,0,C2
4,Sa,3,0,C2
4,Spu,1,0,C2
4,Pv x Ds,2,0,C2
4,Pv x Sp,67,0,C2
4,Pv x Sa,71,0,C2
4,Pv x Spu,3,0,C2
4,Pa x Ds,13,0,C2
4,Pa x Sp,3,0,C2
4,Pa x Sa,12,0,C2
4,Pa x Spu,33,0,C2
5,Pa,4,3,C2
5,Pv,1,3,C2
5,Ds,67,3,C2
5,Sp,3,3,C2
5,Sa,1,3,C2
5,Spu,4,3,C2
5,Pv x Ds,1,3,C2
5,Pv x Sp,72,3,C2
5,Pv x Sa,72,3,C2
5,Pv x Spu,4,3,C2
5,Pa x Ds,3,3,C2
5,Pa x Sp,4,3,C2
5,Pa x Sa,13,3,C2
5,Pa x Spu,10,3,C2
6,Pa,2,3,C1
6,Pv,4,3,C1
6,Ds,66,3,C1
6,Sp,5,3,C1
6,Sa,2,3,C1
6,Spu,2,3,C1
6,Pv x Ds,11,3,C1
6,Pv x Sp,73,3,C1
6,Pv x Sa,67,3,C1
6,Pv x Spu,14,3,C1
6,Pa x Ds,8,3,C1
6,Pa x Sp,9,3,C1
6,Pa x Sa,8,3,C1
6,Pa x Spu,20,3,C1
7,Pa,1,6,C1
7,Pv,3,6,C1
7,Ds,65,6,C1
7,Sp,2,6,C1
7,Sa,4,6,C1
7,Spu,3,6,C1
7,Pv x Ds,6,6,C1
7,Pv x Sp,66,6,C1
7,Pv x Sa,52,6,C1
7,Pv x Spu,8,6,C1
7,Pa x Ds,36,6,C1
7,Pa x Sp,36,6,C1
7,Pa x Sa,18,6,C1
7,Pa x Spu,34,6,C1
8,Pa,33,0,C1
8,Pv,69,0,C1
8,Ds,1,0,C1
8,Sp,7,0,C1
8,Sa,64,0,C1
8,Spu,13,0,C1
8,Pv x Ds,7,0,C1
8,Pv x Sp,62,0,C1
8,Pv x Sa,14,0,C1
8,Pv x Spu,7,0,C1
8,Pa x Ds,35,0,C1
8,Pa x Sp,35,0,C1
8,Pa x Sa,23,0,C1
8,Pa x Spu,14,0,C1
9,Pa,31,3,S1
9,Pv,68,3,S1
9,Ds,8,3,S1
9,Sp,11,3,S1
9,Sa,5,3,S1
9,Spu,8,3,S1
9,Pv x Ds,4,3,S1
9,Pv x Sp,65,3,S1
9,Pv x Sa,70,3,S1
9,Pv x Spu,5,3,S1
9,Pa x Ds,7,3,S1
9,Pa x Sp,2,3,S1
